啊, ah, oh, particle, noun, confirmation 
阿姨, aunt, grandmother, teacher, cousin  
一样, same, different, opposite, strange  
以前, before, after, later, now  
一般, general, special, specific, unique  
一边, side, corner, edge, middle  
一直, always, never, sometimes, often  
音乐, music, silence, noise, sound  
银行, bank, store, market, restaurant  
饮料, beverage, food, snack, fruit  
应该, should, could, may, must  
影响, influence, ignore, avoid, forget  
用, use, discard, ignore, waste  
游戏, game, work, homework, task  
有名, famous, unknown, hidden, anonymous  
又, again, never, always, sometimes  
遇到, meet, avoid, miss, ignore  
元, yuan, dollar, euro, pound  
愿意, willing, unwilling, hesitant, unsure  
月亮, moon, sun, star, cloud  
越, more, less, same, equal  
站, stand, sit, sleep, lie  
张, piece, pair, batch, group  
长, long, short, wide, narrow  
着急, anxious, calm, relaxed, bored  
照顾, take care of, ignore, harm, avoid  
照片, photo, video, painting, drawing  
照相机, camera, phone, television, computer  
只, only, both, neither, all  
只有, only, some, none, both  
中间, middle, corner, edge, outside  
终于, finally, immediately, quickly, suddenly  
种, kind, type, color, shape  
重要, important, unimportant, trivial, irrelevant  
周末, weekend, weekday, holiday, vacation  
主要, main, minor, secondary, unimportant  
注意, pay attention, ignore, neglect, forget  
自己, self, other, friend, neighbor  
自行车, bicycle, car, bus, airplane  
总是, always, never, sometimes, occasionally  
嘴, mouth, ear, eye, nose  
最后, last, first, middle, beginning  
最近, recently, long ago, never, always  
作业, homework, play, rest, entertainment  
中文, Chinese, English, French, Spanish  
